-folder,facdnum, name, text
a,1,Yo. Can we stop and talk for moment?
a,0,Just shut up. You're magic still sucks and you still fight like dung.,1
a,1,Coming from the crybaby who still tripin over his own tail.
a,0,Just.... Shut it!,3
a,1,See! Still throwing tantrums like a child. You should come back home.,3
a,0,Why should I? 
a,0,You're the main reason I left.,1
a,0,Looking at you still makes me sick.
a,1,...,2
a,1,Pop's gone. Died 2 years ago.
a,0,Well he wasn't really MY dad so why should I care?,5
a,1,Did you really just say that?,1
a,0,I didn't mean... I'm sorry.,1
a,1,You need to get your head checked fam. Not cool.
a,0,Thats what I'm trying to do.,1
a,0, I'm headed this way.,0
a,1,Where are you going?,1
a,0,I'm going to fix myself. Follow or get left behind.,2
