-UnoccupiedTiles count = r
-event room = n  -event tiles -event nums
-id = i
-texture num = t
-map width = w
-map height = h
-num of doors/door indexs = d [location], [location] 
-Room Names = m
- Room locations = l
-Start Indexes = x
-num of enemies / enemy indexs = e [location], [location] 
-num of rando glyphs / glyph indexes = g [location], [location] 
-num of lock glyphs / lock glyph indexes = gi [location], [location] 
-num of shops/shop index = s [location], [location] 
-num objs/ obj indexs = o [location], [location] 
-obj ids = oi [location], [location] 
r,50,51,52,55,56,57,58,59,13,14,15,16,17,18,19,20,21,22,23
n,false
i,9
t,4
w,12
h,5
d,47,48
m,Art Gallery,Lounge
l,8,12
x,40,4
yE,-0.25
xE,0.025
yIr,0
yAr,50
xIr,-1
xAr,89
o,53,54,11
oi,0,1,2
e,40
st,34,35,46,53,54,49,4,5,7,8
stt,saveLoad
sti,12
