-UnoccupiedTiles count = r 
-event room = n  -event tiles -event nums 
-id = i 
-texture num = t 
-map width = w 
-map height = h 
-num of doors/door indexs = d [location], [location] 
-Room Names = m 
- Room locations = l 
-Start Indexes = x 
-num of enemies / enemy indexs = e [location], [location] 
-num of rando glyphs / glyph indexes = g [location], [location] 
-num of lock glyphs / lock glyph indexes = gi [location], [location] 
-num of shops/shop index = s [location], [location] 
-num objs/ obj indexs = o [location], [location] 
-obj ids = oi [location], [location] 
i,27
w,14
h,13
st,0,1,2,5,6,7,11,12,13,14,15,19,20,21,26,27,28,41,48,54,57,59,61,63,65,67,69,70,72,74,76,78,80,82,85,87,89,91,93,128,129,130,131,134,135,136,137,141,142,151,152,155,166,168,169,170,179,180,181
d,159
m,Unknown
l,16
x,37
e,144,86, 47, 92
ei,2,4,2,4
-ei,8,8,8,102
