-UnoccupiedTiles count = r
-event room = n  -event tiles -event nums
-id = i
-texture num = t
-map width = w
-map height = h
-num of doors/door indexs = d [location], [location] 
-Room Names = m
- Room locations = l
-Start Indexes = x
-num of enemies / enemy indexs = e [location], [location] 
-num of rando glyphs / glyph indexes = g [location], [location] 
-num of lock glyphs / lock glyph indexes = gi [location], [location] 
-num of shops/shop index = s [location], [location] 
-num objs/ obj indexs = o [location], [location] 
-obj ids = oi [location], [location] 
r,16,17,18,15,19,4,9,14,30,35
n,false
i,16
t,1
w,5
h,8
d,39,0
m,Guest Room,Lesson Room
l,17,5
x,44,27
g,22
gi,3
gr,3
o,3
oi,4
yE,0.25
xE,0.025
yIr,0
yAr,20
xIr,-1
xAr,30
stt,help
sti,36
ex,6
