-UnoccupiedTiles count = r
-event room = n  -event tiles -event nums
-id = i
-texture num = t
-map width = w
-map height = h
-num of doors/door indexs = d [location], [location] 
-Room Names = m
- Room locations = l
-Start Indexes = x
-num of enemies / enemy indexs = e [location], [location] 
-num of rando glyphs / glyph indexes = g [location], [location] 
-num of lock glyphs / lock glyph indexes = gi [location], [location] 
-num of shops/shop index = s [location], [location] 
-num objs/ obj indexs = o [location], [location] 
-obj ids = oi [location], [location] 
r,0,6,7,13,14,15,18,19,20,21,22,25,26,27
i,15
t,4
w,7
h,4
d,24
m,Guest Room
l,17
x,3
o,16,17
oi,5,1
stt,help,help
sti,5,23
ex,0,22
e,5
